caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
31may1966,-.04913987,-.054645,-.06731027,-.07151698,394455866,500,417005608,499,86.13,-.05414013
30jun1966,-.01438045,-.01590415,-.01059305,-.01331804,388660306,500,394433324,500,84.73999999999999,-.0161384
29jul1966,-.01212898,-.01303882,-.01202978,-.01325451,383490284,500,388660306,500,83.59999999999999,-.01345291
31aug1966,-.07165026,-.07748742,-.0867385,-.09172285,353773060,500,383490284,500,77.09999999999999,-.0777512
30sep1966,-.006243986,-.007692068,-.01321909,-.01599902,350550909,500,353213086,500,76.56,-.007003891
31oct1966,.04833277,.04724443,.02587651,.02421676,367237695,500,350670479,500,80.2,.04754441
30nov1966,.01122258,.003740994,.02914846,.02290203,368733667,500,367237695,500,80.45,.003117207
30dec1966,.0003259786,-.001088723,.01224333,.009408426,372363869,500,369621207,500,80.33,-.00149161
31jan1967,.07921493,.07772315,.1239854,.1222609,401305139,500,372363869,500,86.61,.07817752
28feb1967,.007513953,.002419511,.009006167,.00464191,402304139,500,401333063,500,86.78,.001962822
31mar1967,.04113664,.03954358,.05055822,.04774301,418212081,500,402304139,500,90.2,.03941
28apr1967,.04337092,.04254435,.03767567,.03648354,436290712,500,418494922,500,94.01000000000001,.04223947
31may1967,-.04680979,-.0523141,-.02849442,-.0332269,416746784,500,439782345,500,89.08,-.05244123
30jun1967,.01931877,.01801526,.03653646,.0340474,424489155,500,416844210,500,90.64,.01751235
31jul1967,.04645398,.04562341,.06756113,.06629591,443352887,500,423964182,499,94.75,.04534422
31aug1967,-.006824153,-.01219689,.004667257,.0003580249,438076799,500,443495732,499,93.64,-.01171504
29sep1967,.03381473,.03259689,.02620663,.02387518,452224639,500,437391833,498,96.70999999999999,.03278514
31oct1967,-.02744766,-.0287009,-.04952056,-.05107757,439871866,500,452389733,499,93.90000000000001,-.02905594
30nov1967,.006434961,.0005333822,-.0004458865,-.005119986,440401932,500,440167631,500,94,.001064963
29dec1967,.02707942,.02585744,.04537592,.04295477,458595138,500,440401932,500,96.47,.0262766
31jan1968,-.04187477,-.04352305,-.01245306,-.01420726,439307565,500,458819114,497,92.23999999999999,-.04384783
29feb1968,-.02689974,-.03197258,-.03087745,-.03507173,425370940,500,439420337,500,89.36,-.0312229
29mar1968,.009695531,.008585203,.00382546,.001547015,429322070,500,425346701,499,90.2,.009400179
30apr1968,.08409225,.08264236,.1022523,.1004487,464746222,500,429261697,500,97.59,.08192904
31may1968,.01637425,.01110432,.0428759,.03875116,470465040,500,465298418,500,98.68000000000001,.01116918
28jun1968,.009915728,.008695147,.02006875,.01786772,474369191,500,470280820,500,99.58,.009120389
30jul1968,-.01744445,-.01866379,-.02616721,-.02762788,465054666,500,473678580,498,97.73999999999999,-.01847761
30aug1968,.01641539,.0112592,.02588557,.02176799,468973664,500,462970555,499,98.86,.01145897
30sep1968,.03935051,.03821032,.0549314,.05287784,486880957,500,468930939,500,102.67,.03853935
31oct1968,.008586778,.006750628,.01322114,.01157713,490167830,500,486880957,500,103.41,.007207558
29nov1968,.05357986,.04865865,.06807935,.06431305,514088024,500,490242725,500,108.37,.04796441
31dec1968,-.04082637,-.04214149,-.02445974,-.02665027,500207694,500,513541225,499,103.86,-.04161668
31jan1969,-.00754704,-.008612324,-.004498309,-.005810399,497201143,500,501491726,499,103.01,-.008184094
28feb1969,-.04232084,-.0473844,-.0633984,-.0669781,473970955,500,497546914,498,98.13,-.04737404
28mar1969,.03484655,.0335985,.02113704,.01887754,490827770,500,474663421,500,101.51,.0344441
30apr1969,.02277108,.02144949,.01176497,.01007191,500948556,500,490411773,497,103.69,.02147572
29may1969,.00385395,-.001862028,-.005287406,-.009087613,501849148,500,502582263,497,103.46,-.00221815
30jun1969,-.05435686,-.05568618,-.08249184,-.08478492,473658686,500,501264029,497,97.70999999999999,-.05557704
31jul1969,-.05863154,-.05991927,-.06972625,-.07137883,445370123,500,472727562,498,91.83,-.06017808
29aug1969,.04572831,.04018021,.04413615,.03963873,463485687,500,445305272,499,95.51000000000001,.04007405
30sep1969,-.0239414,-.02528507,-.01831754,-.02083795,451516734,500,463146467,497,93.12,-.02502356
31oct1969,.04689974,.0446605,.06411509,.06180383,471971603,500,451516734,497,97.23999999999999,.04424399
28nov1969,-.02915244,-.0344331,-.04312104,-.0471904,455787067,500,471971603,498,93.81,-.03527355
31dec1969,-.01692152,-.01836505,-.03993025,-.04263968,452813432,500,455787067,498,92.06,-.01865473
30jan1970,-.07539774,-.07680889,-.05838817,-.05992723,418033322,500,452813432,498,85.02,-.07647187
27feb1970,.05952076,.05361467,.06859237,.0637797,440867101,500,418033322,498,89.5,.05269348
31mar1970,.00280639,.001232103,.003637161,.0007256579,442009426,500,440926702,497,89.63,.001452514
30apr1970,-.08883131,-.09003482,-.1088005,-.1104485,403393044,500,443704845,499,81.52,-.0904831
29may1970,-.05468891,-.06111157,-.08231715,-.08710684,378813252,500,403393044,499,76.55,-.06096663
30jun1970,-.04903229,-.05090158,-.05885437,-.06224307,360516105,500,379696959,499,72.72,-.05003266
31jul1970,.07552323,.07321904,.08190329,.07963903,386921446,500,360516105,499,78.05,.07329483
31aug1970,.04977846,.04378206,.06274161,.05750732,403929033,500,386949693,499,81.52,.04445868
30sep1970,.03470244,.03302091,.06525034,.06240459,417383490,500,403929033,499,84.20999999999999,.03299804
30oct1970,-.009031615,-.01163891,-.03216305,-.0343999,412742767,500,417513165,499,83.25,-.01140007
30nov1970,.05438696,.04883566,.04693659,.04216921,435983629,500,415702522,499,87.2,.04744745
31dec1970,.05868403,.05735763,.0845047,.08191241,466060421,500,435628866,498,92.15000000000001,.05676606
29jan1971,.04282808,.04150036,.08393536,.08249836,485661737,500,466060421,498,95.88,.04047748
26feb1971,.01331668,.008151977,.0211012,.01732104,489509758,500,485491748,498,96.75,.009073842
31mar1971,.03906771,.03762414,.03988756,.03738341,508149503,500,489706681,499,100.31,.03679587
30apr1971,.03696462,.03578864,.04137385,.03994418,526321899,500,508149503,499,103.95,.03628751
28may1971,-.03714954,-.04213838,-.04109535,-.04464763,504256364,500,526321899,499,99.63,-.04155844
30jun1971,.002438827,.001061388,-.005647381,-.008119493,504454384,500,504055184,499,99.7,.0007025996
30jul1971,-.04082671,-.04190133,-.04286595,-.04426436,483177627,500,504308825,499,95.58,-.04132397
31aug1971,.0420359,.03654927,.05266752,.04858746,501783719,500,483959048,499,99.03,.03609542
30sep1971,-.00503762,-.006387332,-.014162,-.01626425,498676054,500,501783719,499,98.34,-.006967586
29oct1971,-.04012943,-.04201473,-.05498113,-.05683726,477724289,500,498676054,499,94.23,-.04179378
30nov1971,.002898495,-.002029243,-.01727303,-.02111442,476754849,500,477724289,499,93.98999999999999,-.00254696
31dec1971,.08788031,.08648586,.1089689,.1066079,526495908,500,476981042,499,102.09,.08617938
31jan1972,.01908811,.01781397,.03813903,.03652547,535658341,500,526291936,498,103.94,.01812126
29feb1972,.03022065,.02541557,.02757756,.02402584,549602845,500,535660140,498,106.57,.02530306
30mar1972,.007315347,.006132285,.001280648,-.0007639214,552973875,500,549602845,499,107.2,.005911607
28apr1972,.005476083,.004658436,.004669821,.003366991,555549856,500,552973875,499,107.67,.004384328
31may1972,.02201909,.01676332,.0009452316,-.003015026,564940979,500,555549856,499,109.53,.01727501
30jun1972,-.02015636,-.02137756,-.03101984,-.03320836,553085990,500,564940979,499,107.14,-.02182051
31jul1972,.003244872,.002126155,-.02022579,-.02182111,554340684,500,553085990,499,107.39,.002333396
31aug1972,.03942475,.03464879,.04100512,.03707633,573547922,500,554340684,499,111.09,.03445386
29sep1972,-.003276729,-.00451643,-.02142778,-.02355679,576108284,500,578648894,500,110.55,-.004860924
31oct1972,.01087805,.009502812,.003160651,.001256624,581582968,500,576108284,500,111.58,.009317051
30nov1972,.05029678,.04517315,.07301424,.06904057,607854861,500,581582968,500,116.67,.04561749
29dec1972,.0136634,.0126215,-.01183941,-.01391951,626697189,500,607854861,500,118.05,.01182823
31jan1973,-.01675206,-.0180441,-.04904346,-.05056131,615367335,500,626697189,500,116.03,-.01711139
28feb1973,-.03381759,-.0382286,-.0480574,-.05191499,591396738,500,614899917,498,111.68,-.0374903
