permno,start,ending
13119,14dec1960,31mar2006
13135,01mar1957,15jan1964
13141,03jan2012,21mar2014
13142,13nov2013,31dec2018
13143,28mar1933,01mar1957
13143,25oct1961,16jun1980
13151,01mar1957,22jun1960
13168,21dec2011,31dec2018
13207,01mar1945,22jun1953
13207,01mar1957,04jun1958
13274,01mar1957,22jan1964
13290,01mar1957,02may1979
13303,01mar1957,03jan1994
13311,31dec1925,08may1974
13311,03nov1977,02jul1981
13354,01mar1957,30sep1993
13356,01may2012,31dec2018
13362,31dec1925,07jun1944
13370,01mar1957,10dec1958
13370,25feb1959,22apr1970
13389,01mar1957,23apr1958
13407,23dec2013,31dec2018
13434,31dec1925,31jan1968
13442,31dec1925,21oct1964
13522,31dec1925,28feb1945
13522,04jun1958,02jun1982
13549,31dec1925,16jul1947
13565,31dec1925,20aug1941
13565,01mar1957,16aug1961
13567,01oct2012,02may2016
13573,31dec1925,04mar1970
13586,01oct2012,31dec2018
13598,02oct2012,02jul2015
13610,01mar1957,05feb1975
13637,01mar1957,14jan1976
13641,03dec2018,31dec2018
13661,01mar1957,25mar1987
13688,31dec1925,31dec2018
13696,31dec1925,07jun1944
13696,01mar1957,17oct1962
13721,02jan2013,31dec2018
13760,13oct2017,31dec2018
13788,24jun2013,31dec2018
13792,31dec1925,27sep1972
13805,01mar1957,16jun1965
13821,31dec1925,04jan1930
13821,15apr1940,21feb2007
13856,01mar1957,31dec2018
13864,20aug1941,07jun1944
13901,01mar1957,31dec2018
13911,29aug2017,31dec2018
13928,01mar1957,31dec2018
13936,14feb2013,31dec2018
13963,01jul2013,31dec2018
13964,21sep2015,31dec2018
13983,03oct2016,31dec2018
14008,02jan1992,31dec2018
14011,19aug2014,25jul2017
14058,31dec1925,07jul1948
14066,31dec1925,20apr1954
14066,01mar1957,19nov1980
14090,31dec1925,11jun1986
14154,31dec1925,04jun1958
14154,08jul1968,27sep1972
14189,01mar1957,18jul1984
14218,31dec1925,20apr1954
14218,01mar1957,08feb1989
14250,31dec1925,09sep1981
14277,01mar1957,31jan1962
14277,04mar1965,31dec2018
14295,07jun2018,31dec2018
14297,02dec2013,31dec2018
14314,01mar1957,11jun1958
14322,31dec1925,24mar2005
14323,23nov1984,29sep2006
14338,19jun2017,31dec2018
14357,01mar1957,12jun1985
14402,14mar1963,07feb1979
14429,01mar1957,05mar1969
14461,23apr1970,08dec1976
14488,01mar1957,19jul1967
14496,31dec1925,28dec1983
14509,31dec1925,02jun1982
14525,01mar1957,17sep1986
14533,31dec1925,29jul1981
14541,31dec1925,31dec2018
14542,03apr2014,31dec2018
14568,31dec1925,06feb1930
14568,16nov1931,20aug1941
14568,07jun1944,28feb1945
14592,01mar1957,24feb1988
14593,18nov1982,31dec2018
14601,01may2014,04jun2018
14605,31dec1925,20aug1941
14613,01mar1957,22apr1964
14656,06mar1969,04oct2012
14664,01mar1957,01jun1966
14699,12mar1958,09apr1958
14702,16mar1995,31dec2018
14704,02jun2017,31dec2018
14714,28aug2018,31dec2018
14728,23mar1960,12jun1963
14736,31dec1925,09oct2001
14760,01mar1957,13sep1972
14760,11apr1974,28oct1981
14776,18nov2015,31dec2018
14779,01mar1957,16jan1963
14795,31dec1925,30jun1950
14795,20feb1964,06aug2001
14816,01mar1957,21aug1957
14832,01mar1957,26oct1960
14859,31dec1925,24jun1981
14867,01mar1957,27may1959
14867,30sep1965,30may1973
14875,20aug1941,01mar1957
14883,01mar1957,30apr1999
14889,01feb2016,31dec2018
14891,01mar1957,10aug2005
14904,31dec1925,15jul1969
14912,31dec1925,25sep1985
14939,06nov2018,31dec2018
14955,31dec1925,20aug1941
15042,22jul1929,20aug1941
15042,01mar1957,12feb1969
15069,31dec1925,31dec2018
15077,09apr1987,05jan2009
15085,01mar1957,09apr1958
15149,01mar1957,14dec1960
15149,14mar1963,30aug1967
15157,01mar1957,06aug1968
15165,01mar1957,04dec1963
15202,01jul1999,31dec2018
15237,01mar1957,19jan1972
15317,04jun1958,14dec1966
15325,31dec1925,07jun1944
15341,31dec1925,11jun1968
15368,03jul1950,04may2000
15401,01jul2015,02jun2016
15404,02jul2015,05jul2016
15408,06jul2015,31dec2018
15448,01mar1957,17may1967
15456,31dec1925,31dec1998
15456,04apr2016,31dec2018
15464,01mar1957,29nov1967
15472,01mar1957,06oct2008
15480,01mar1957,30oct1963
15488,20jul2015,31dec2018
15499,01mar1957,28may1969
15528,01mar1957,16jun1965
15536,01mar1957,31jan1968
15544,01mar1957,29jan1964
15544,07nov1968,13aug1975
15553,13dec2011,30jun2016
15560,01mar1973,30jun2011
15579,25mar1959,31dec2018
15659,31dec1925,06feb2001
15667,01mar1957,15oct2009
15704,31dec1925,06sep1951
15707,02nov2015,31dec2018
15712,01jul1982,17dec1986
15719,10nov2015,10nov2015
15720,31dec1925,31dec2018
15747,20jan1972,12jul1993
15763,01mar1957,09oct1985
15797,30nov2015,03apr2018
15819,01mar1957,10sep1968
15835,01mar1957,23jul1968
15843,01mar1957,30may1973
15915,01mar1957,18may1977
15966,01mar1957,30nov1999
15974,01mar1957,10sep1968
15980,08apr2016,31dec2018
16029,07nov1968,17nov1982
16044,16may2016,16may2016
16087,05jul2016,31dec2018
16088,14jan1982,07may1986
16109,31dec1925,06nov1985
16176,31dec1925,01aug1929
16205,01mar1957,04oct1967
16256,01mar1957,15dec1965
16267,07sep2016,07sep2016
16276,03oct2016,03oct2016
16279,03oct2016,03oct2016
16280,28sep1967,14nov1973
16336,01mar1973,20oct1982
16342,31oct2016,31oct2016
16343,01nov2016,01nov2016
16344,01mar1957,22jun1966
16346,01nov2016,01nov2016
16347,01nov2016,01nov2016
16360,19may1977,04jan1989
16424,26oct1960,30sep2005
16431,10nov2016,10nov2016
16431,03dec2018,31dec2018
16432,31dec1925,31dec2018
16538,17jan2017,31dec2018
16544,02feb2017,02feb2017
16571,01mar1957,20dec1994
16598,01mar1957,17jun1981
16600,01mar1957,31dec2018
16619,01mar1957,08may1974
16651,01mar1957,09dec1987
16678,01mar1957,31dec2018
16686,01mar1957,23jul1968
16707,20aug1941,15sep1982
16723,01mar1957,06nov1968
16731,01mar1957,02nov1977
